team,player,category,club,league_country,age,position,international_caps,international_goals,club_matches_2526,club_goals_2526,club_assists_2526,fotmob_rating,goalkeeper_cs,save_pct,squad_status,key_stat,carousel_angle,date
Algeria,Riyad Mahrez,Key Player,Al-Ahli,Saudi Arabia,35,Right Winger,113,38,ND,ND,ND,ND,N/A,N/A,Undisputed captain · First-choice starter,113 caps · 38 goals · Last World Cup of his career,Legend · Last WC · Algeria's soul for 10 years,
Algeria,Nabil Bentaleb,Key Player,LOSC Lille,France,31,Defensive Midfielder,27,3,22,2,2,7.0,N/A,N/A,Key squad member · Defensive anchor,9th L1 ball recoveries · World-class season at LOSC,Return after cardiac arrest June 2024 · LOSC metronome,
Algeria,Luca Zidane,Key Player,Granada CF,Spain,27,Goalkeeper,9,0,23,0,0,6.9,7,71.3,First-choice GK · Started despite fractured jaw,71.3% saves · 7 clean sheets · Modern ball-playing GK,End of Algeria's GK problem? Maintained despite fractured jaw,
Algeria,Anis Hadj Moussa,One to Watch,Feyenoord,Netherlands,24,Left Winger,ND,1,38,13,7,ND,N/A,N/A,Rising threat · Breaking into the XI,13 goals + 7 assists 25-26 · 1st intl goal vs Netherlands 03/06,Designated Mahrez successor · Not yet undisputed starter but rising,
Algeria,Ibrahim Maza,One to Watch,Bayer Leverkusen,Germany,20,Attacking Midfielder,ND,ND,28,3,4,ND,N/A,N/A,Rotation option · Breaking through,"3G+4A Bundesliga 25-26 · Tracked by Man City, Barca, Atletico",Future world-class talent · Youngest of his generation,
Saudi Arabia,Salem Al-Dawsari,Key Player,Al-Hilal,Saudi Arabia,34,Attacking Midfielder,108,ND,ND,8,8,7.55,N/A,N/A,Undisputed captain · Heartbeat of the squad,108 caps · 8G+8A SPL 25-26 · Rating 7.55 · Top 98% xA SPL,Captain · Decisive goal vs ARG 2022 · 2-time AFC Player of Year,
Saudi Arabia,Saud Abdulhamid,Key Player,RC Lens,France,26,Right Back,55,ND,ND,2,8,ND,N/A,N/A,First-choice RB · Only European-based player,2G+8A Ligue 1 · Coupe de France · UCL 2026-27 · Extended to 2029,1st Saudi to score in L1 · 1st to win Coupe de France,
Saudi Arabia,Firas Al-Buraikan,Key Player,Al-Ahli,Saudi Arabia,26,Striker,ND,ND,ND,ND,ND,ND,N/A,N/A,First-choice striker · Clinical finisher,Top scorer qualifying · Goal in AFC Champions League final 2026,Reference finisher · Delivered on biggest occasion,
Saudi Arabia,Musab Al-Juwayr,One to Watch,Al-Qadsiah,Saudi Arabia,22,Central Midfielder,19,6,25,3,10,7.81,N/A,N/A,Starting XI · First-choice starter,6G+11A SPL · Rating 7.81 · Saudi Player of the Season 25-26,Saudi Player of Season at 22 · Youngest in WC squad · Fête 23 during WC,
Saudi Arabia,Sultan Mandash,One to Watch,Al-Hilal,Saudi Arabia,31,Winger,ND,1,ND,ND,ND,ND,N/A,N/A,Impact sub · Supersub threat,1st intl goal vs Ecuador 31/05 — came off bench · KSA's only pre-WC goal,The impact sub — can change a game in 20 min. Proved it in pre-tournament.,
